Protocol,Length,Src_IP,Dst_IP,Src_Port,Dst_Port,Timestamp,Anomaly
TCP,54,10.0.2.2,10.0.2.15,4900,35472,1629118909.235835,1
TCP,74,10.0.2.15,10.0.2.2,52654,1244,1629118909.236812,1
TCP,54,10.0.2.2,10.0.2.15,8022,57234,1629118909.236812,1
TCP,74,10.0.2.15,10.0.2.2,40998,49159,1629118909.237787,1
TCP,54,10.0.2.2,10.0.2.15,32781,35562,1629118909.237787,1
TCP,74,10.0.2.15,10.0.2.2,46868,2035,1629118909.238763,1
TCP,54,10.0.2.2,10.0.2.15,7402,33340,1629118909.238763,1
TCP,74,10.0.2.15,10.0.2.2,59888,2557,1629118909.239739,1
TCP,54,10.0.2.2,10.0.2.15,2000,50376,1629118909.239739,1
TCP,74,10.0.2.15,10.0.2.2,41502,5998,1629118909.240715,1
TCP,54,10.0.2.2,10.0.2.15,25735,53452,1629118909.240715,1
TCP,74,10.0.2.15,10.0.2.2,35488,9290,1629118909.242668,1
TCP,54,10.0.2.2,10.0.2.15,10009,59702,1629118909.242668,1
TCP,74,10.0.2.15,10.0.2.2,41532,49163,1629118909.243644,1
